node_index_in_matrix_0based,index,label,network_label,label_7network,index_17network,label_17network,network_label_17network,atlas_name,network_id
0,1,LH_Vis_1,Vis,7Networks_LH_Vis_1,7.0,17Networks_LH_VisPeri_ExStrInf_1,VisPeri,4S256,
1,2,LH_Vis_2,Vis,7Networks_LH_Vis_2,1.0,17Networks_LH_VisCent_ExStr_1,VisCent,4S256,
2,3,LH_Vis_3,Vis,7Networks_LH_Vis_3,30.0,17Networks_LH_DorsAttnA_TempOcc_2,DorsAttnA,4S256,
3,4,LH_Vis_4,Vis,7Networks_LH_Vis_4,8.0,17Networks_LH_VisPeri_ExStrInf_2,VisPeri,4S256,
4,5,LH_Vis_5,Vis,7Networks_LH_Vis_5,2.0,17Networks_LH_VisCent_ExStr_2,VisCent,4S256,
5,6,LH_Vis_6,Vis,7Networks_LH_Vis_6,9.0,17Networks_LH_VisPeri_ExStrInf_3,VisPeri,4S256,
6,7,LH_Vis_7,Vis,7Networks_LH_Vis_7,3.0,17Networks_LH_VisCent_Striate_1,VisCent,4S256,
7,8,LH_Vis_8,Vis,7Networks_LH_Vis_8,31.0,17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA,4S256,
8,9,LH_Vis_9,Vis,7Networks_LH_Vis_9,4.0,17Networks_LH_VisCent_ExStr_3,VisCent,4S256,
9,10,LH_Vis_10,Vis,7Networks_LH_Vis_10,10.0,17Networks_LH_VisPeri_StriCal_1,VisPeri,4S256,
10,11,LH_Vis_11,Vis,7Networks_LH_Vis_11,5.0,17Networks_LH_VisCent_ExStr_4,VisCent,4S256,
11,12,LH_Vis_12,Vis,7Networks_LH_Vis_12,11.0,17Networks_LH_VisPeri_ExStrSup_1,VisPeri,4S256,
12,13,LH_Vis_13,Vis,7Networks_LH_Vis_13,12.0,17Networks_LH_VisPeri_ExStrSup_2,VisPeri,4S256,
13,14,LH_Vis_14,Vis,7Networks_LH_Vis_14,6.0,17Networks_LH_VisCent_ExStr_5,VisCent,4S256,
14,15,LH_SomMot_1,SomMot,7Networks_LH_SomMot_1,21.0,17Networks_LH_SomMotB_Aud_1,SomMotB,4S256,
15,16,LH_SomMot_2,SomMot,7Networks_LH_SomMot_2,22.0,17Networks_LH_SomMotB_Aud_2,SomMotB,4S256,
16,17,LH_SomMot_3,SomMot,7Networks_LH_SomMot_3,23.0,17Networks_LH_SomMotB_S2_1,SomMotB,4S256,
17,18,LH_SomMot_4,SomMot,7Networks_LH_SomMot_4,24.0,17Networks_LH_SomMotB_S2_2,SomMotB,4S256,
18,19,LH_SomMot_5,SomMot,7Networks_LH_SomMot_5,26.0,17Networks_LH_SomMotB_S2_3,SomMotB,4S256,
19,20,LH_SomMot_6,SomMot,7Networks_LH_SomMot_6,27.0,17Networks_LH_SomMotB_Cent_1,SomMotB,4S256,
20,21,LH_SomMot_7,SomMot,7Networks_LH_SomMot_7,28.0,17Networks_LH_SomMotB_Cent_2,SomMotB,4S256,
21,22,LH_SomMot_8,SomMot,7Networks_LH_SomMot_8,13.0,17Networks_LH_SomMotA_1,SomMotA,4S256,
22,23,LH_SomMot_9,SomMot,7Networks_LH_SomMot_9,14.0,17Networks_LH_SomMotA_2,SomMotA,4S256,
23,24,LH_SomMot_10,SomMot,7Networks_LH_SomMot_10,15.0,17Networks_LH_SomMotA_3,SomMotA,4S256,
24,25,LH_SomMot_11,SomMot,7Networks_LH_SomMot_11,37.0,17Networks_LH_DorsAttnB_PostC_3,DorsAttnB,4S256,
25,26,LH_SomMot_12,SomMot,7Networks_LH_SomMot_12,16.0,17Networks_LH_SomMotA_4,SomMotA,4S256,
26,27,LH_SomMot_13,SomMot,7Networks_LH_SomMot_13,17.0,17Networks_LH_SomMotA_5,SomMotA,4S256,
27,28,LH_SomMot_14,SomMot,7Networks_LH_SomMot_14,18.0,17Networks_LH_SomMotA_6,SomMotA,4S256,
28,29,LH_SomMot_15,SomMot,7Networks_LH_SomMot_15,19.0,17Networks_LH_SomMotA_7,SomMotA,4S256,
29,30,LH_SomMot_16,SomMot,7Networks_LH_SomMot_16,20.0,17Networks_LH_SomMotA_8,SomMotA,4S256,
30,31,LH_DorsAttn_Post_1,DorsAttn,7Networks_LH_DorsAttn_Post_1,29.0,17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA,4S256,
31,32,LH_DorsAttn_Post_2,DorsAttn,7Networks_LH_DorsAttn_Post_2,57.0,17Networks_LH_ContA_Temp_1,ContA,4S256,
32,33,LH_DorsAttn_Post_3,DorsAttn,7Networks_LH_DorsAttn_Post_3,32.0,17Networks_LH_DorsAttnA_SPL_1,DorsAttnA,4S256,
33,34,LH_DorsAttn_Post_4,DorsAttn,7Networks_LH_DorsAttn_Post_4,35.0,17Networks_LH_DorsAttnB_PostC_1,DorsAttnB,4S256,
34,35,LH_DorsAttn_Post_5,DorsAttn,7Networks_LH_DorsAttn_Post_5,36.0,17Networks_LH_DorsAttnB_PostC_2,DorsAttnB,4S256,
35,36,LH_DorsAttn_Post_6,DorsAttn,7Networks_LH_DorsAttn_Post_6,60.0,17Networks_LH_ContA_IPS_3,ContA,4S256,
